TimeOfDay,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
12:08:00.300,-207.357693583686,-185.090028754628,25.5754684612502,-205.178335349568,-193.215966587764,26.552977097168,-51.7503577578535,-1.23373524251738,-121.349992656056
12:08:00.400,-207.297083114613,-185.040009472529,25.3564519051218,-205.1822140817,-193.227929054761,26.6815183813684,-51.7471391596215,-1.23176659245573,-121.345344782491
12:08:00.500,-207.235625965533,-184.993908568115,25.1104984381289,-205.18406195517,-193.238781305785,26.7544214041823,-51.7402162716512,-1.22758759330639,-121.329493635493
12:08:00.600,-207.173369828058,-184.951121794536,24.8443073024913,-205.184226551508,-193.248703217506,26.7796569738553,-51.7358358770657,-1.22058647026836,-121.317729160612
12:08:00.700,-207.110362400892,-184.911044905101,24.564470535129,-205.183055450822,-193.257874666437,26.7654953989413,-51.7355043487357,-1.21296679400349,-121.30307802679
12:08:00.800,-207.046651377068,-184.873073652879,24.277500083586,-205.180896231806,-193.266475529486,26.7203448532598,-51.7332429522458,-1.2053989561451,-121.2905861225
12:08:00.900,-206.982284453871,-184.836603790941,23.9898467470988,-205.178096477407,-193.274685683244,26.6526227110878,-51.7296845381493,-1.19737503485368,-121.271188643818
12:08:01.000,-206.917309324333,-184.801031072673,23.7079116234913,-205.175003766316,-193.282685004304,26.5706615694297,-51.7280752120889,-1.19232860621065,-121.258794266615
12:08:01.100,-206.85177368574,-184.765751251226,23.4380510507369,-205.171965680061,-193.290653369652,26.4826499837032,-51.7251274619474,-1.18758332209428,-121.251132745655
12:08:01.200,-206.785725232543,-184.730160079589,23.1865757379168,-205.169329797336,-193.298770655722,26.3966063778376,-51.7220529539353,-1.18212091346847,-121.239365359465
12:08:01.300,-206.71921165919,-184.69365331107,22.959744721114,-205.16744369825,-193.307216739263,26.320385159552,-51.7177237750091,-1.18281435897336,-121.226349010118
12:08:01.400,-206.652280662969,-184.65562669882,22.7637548495946,-205.166654967169,-193.316171497106,26.2617129687048,-51.7167430947552,-1.18088326340712,-121.206502670161
12:08:01.500,-206.58497993691,-184.615475995987,22.6047260561923,-205.167311179947,-193.325814805682,26.228254203904,-51.7161751887496,-1.18320926018717,-121.191209959984
12:08:01.600,-206.517357178301,-184.572596955721,22.4886829058666,-205.169759919533,-193.33632654198,26.2277055458886,-51.7140924549995,-1.18338267381657,-121.174900220371
12:08:01.700,-206.44946008159,-184.52638533133,22.4215323697363,-205.174348766035,-193.347886582433,26.2679198784942,-51.7133755988527,-1.18551191954327,-121.153705108499
12:08:01.800,-206.381336342646,-184.476236875804,22.409037957447,-205.181425298148,-193.360674803948,26.3570623945922,-51.7166830214741,-1.18682553877839,-121.137626904936
12:08:01.900,-206.313033655918,-184.421547342372,22.4567897347047,-205.191337098816,-193.374871083039,26.4878054625483,-51.7124067486148,-1.18747163127525,-121.122180449527
12:08:02.000,-206.244599718693,-184.361712484183,22.5701700149137,-205.204431745314,-193.390655296535,26.603903640504,-51.7131960299296,-1.18901271007925,-121.114421238039
12:08:02.100,-206.176034523881,-184.296435238532,22.7511086146388,-205.220839652864,-193.408100122909,26.6922611358018,-51.7132592245084,-1.19168393592104,-121.106962562788
12:08:02.200,-206.107147276663,-184.226647250157,22.9886104645176,-205.239822585633,-193.426849458327,26.7541577026835,-51.7073120646924,-1.18902376115986,-121.094867256592
12:08:02.300,-206.037699484938,-184.153587333097,23.2687081175976,-205.260425147155,-193.446440005678,26.7904627641982,-51.7045117628956,-1.18909915632265,-121.087286766786
12:08:02.400,-205.967452653765,-184.078494301391,23.5777714823251,-205.281691943801,-193.466408468011,26.8018132348849,-51.7009129803937,-1.18517657448852,-121.073138863015
12:08:02.500,-205.896168289624,-184.002606969397,23.9025519458453,-205.302667581941,-193.486291548454,26.7887612519905,-51.6977719026603,-1.18893846301779,-121.062401560824
12:08:02.600,-205.82360790183,-183.927164151152,24.2302066344729,-205.322396669362,-193.505625949897,26.7519232613468,-51.6978622430276,-1.18459107710187,-121.048938209918
12:08:02.700,-205.749532994024,-183.853404660776,24.5483029260662,-205.339923809599,-193.523948375388,26.6930226291569,-51.6973611676787,-1.18082424648972,-121.043425215121
12:08:02.800,-205.673705074105,-183.782567312546,24.8448031385437,-205.354293609021,-193.540795527976,26.6177465654037,-51.6985458781296,-1.18070188625856,-121.033138752793
12:08:02.900,-205.595885649968,-183.71589092058,25.1080291984718,-205.364550673998,-193.55570411063,26.5331925184491,-51.7013019145078,-1.17964319838768,-121.023052196806
12:08:03.000,-205.515836225257,-183.654614298917,25.3266074179364,-205.3697396109,-193.568210826479,26.4469089909967,-51.7026076011253,-1.17814030738839,-121.012265099455
12:08:03.100,-205.433434365971,-183.599609409364,25.4926173060568,-205.369235784385,-193.578002745076,26.367093087312,-51.7026614516648,-1.17740142142512,-120.998966664218
12:08:03.200,-205.349021781172,-183.55028107708,25.6110421499567,-205.363737345502,-193.585368290782,26.3033246982193,-51.7031198059355,-1.17730677256408,-120.993666455945
12:08:03.300,-205.263056189813,-183.505667411368,25.6898486971825,-205.354273083049,-193.590746198895,26.2649815372625,-51.7020714668387,-1.17862865784302,-120.979966450354
12:08:03.400,-205.175995313677,-183.464806521771,25.7367745475147,-205.341871787241,-193.594575204319,26.2607389800242,-51.7016104181265,-1.17897174851343,-120.961970309803
12:08:03.500,-205.088296875971,-183.426736517593,25.7593708679437,-205.327562242621,-193.597294042033,26.2949786166169,-51.7027115172231,-1.17955724431245,-120.952339827612
12:08:03.600,-205.00041859706,-183.390495508456,25.7650390440978,-205.312373237985,-193.599341447258,26.357324375023,-51.6980980562887,-1.17878224416011,-120.932379411093
12:08:03.700,-204.912818198733,-183.355121603744,25.7610613406208,-205.29733356213,-193.601156154895,26.4342760074347,-51.6970446544782,-1.1790840394601,-120.909781634643
12:08:03.800,-204.825953402774,-183.319652912761,25.7546256779749,-205.283472001017,-193.603176900005,26.5130216312007,-51.6970520925547,-1.1812242566473,-120.886974796802
12:08:03.900,-204.74028193097,-183.283127545049,25.7528448679411,-205.271817346279,-193.605842417728,26.5813975257037,-51.6907996596133,-1.18063364118795,-120.866032970852
12:08:04.000,-204.656261505107,-183.244583609991,25.7627705379931,-205.26339838104,-193.609591442966,26.6312283037236,-51.6925144007319,-1.18099767591613,-120.850109773697
12:08:04.100,-204.574269773843,-183.203240119813,25.7906152424463,-205.258963795565,-193.614761447892,26.667450910681,-51.6866047078332,-1.17813879698778,-120.830478227233
12:08:04.200,-204.494364111765,-183.159039663336,25.8394120666776,-205.258141921435,-193.621284871312,26.6942728878002,-51.6842365731726,-1.17910166336726,-120.814451087747
12:08:04.300,-204.416521831674,-183.112105715155,25.9114066479149,-205.260281017228,-193.628992898829,26.7147108782242,-51.6872027150041,-1.17546612083753,-120.790148465831
12:08:04.400,-204.34072024212,-183.062561749785,26.0088557456971,-205.264729341518,-193.637716715807,26.7316699205989,-51.6889776896521,-1.17051347253747,-120.762858963131
12:08:04.500,-204.266936654488,-183.010531241664,26.134036356365,-205.270835154301,-193.64728750769,26.7480010390126,-51.6880734336845,-1.1683273377269,-120.735977456167
12:08:04.600,-204.195148378744,-182.956137665147,26.2892555865987,-205.277946711316,-193.65753646016,26.7665383767344,-51.6927653751895,-1.16533257831081,-120.698452345631
