TimeOfDay,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
12:34:30.600,-161.534737906917,-136.164064014831,56.4273024677003,-166.995069833075,-152.760943052852,58.6227645568578,-17.8502842022191,69.7729377340356,-130.463007683933
12:34:30.700,-161.40507663094,-135.960616650013,56.2242349753589,-166.891171813523,-152.592380064422,58.5180411180351,-17.8241072540183,69.775046703545,-130.544445914858
12:34:30.800,-161.27526141727,-135.75792783669,56.0518384793395,-166.786751161673,-152.423165524953,58.4511386941795,-17.8040552874241,69.775297584127,-130.644249987197
12:34:30.900,-161.145063263909,-135.555925955502,55.9064496944318,-166.681866495806,-152.25327945464,58.4170927208474,-17.7825627476373,69.779475544484,-130.737370098833
12:34:31.000,-161.014253170278,-135.354539387566,55.784435714332,-166.576576438461,-152.082701873519,58.4108755276321,-17.7589816824695,69.7765663273095,-130.843512341496
12:34:31.100,-160.882602135799,-135.153696513761,55.6821766186144,-166.470939606502,-151.911412801706,58.427413243216,-17.7267480666798,69.7778021869107,-130.928415305104
12:34:31.200,-160.749881161312,-134.953325715044,55.596051916162,-166.365014622465,-151.739392259476,58.4616009869881,-17.7045087468467,69.780007804754,-131.017330027087
12:34:31.300,-160.615861243402,-134.753355372135,55.5224313235642,-166.258860104634,-151.566620266943,58.5083152376378,-17.6718499723048,69.7828418260144,-131.108349286665
12:34:31.400,-160.480313382908,-134.55371386623,55.4576700940895,-166.152534671292,-151.393076844224,58.5624243460825,-17.6453722918216,69.7772038908495,-131.205900234193
12:34:31.500,-160.343008577833,-134.354329577969,55.3981087874108,-166.046096944975,-151.218742011433,58.6187969960992,-17.6182849145461,69.7731575938929,-131.298873949454
12:34:31.600,-160.203717829018,-134.155130888389,55.3400780773605,-165.939605542548,-151.043595788687,58.6723079592162,-17.5890981178373,69.7723263108173,-131.400445237943
12:34:31.700,-160.062212134465,-133.95604617837,55.2799082283791,-165.83311908513,-150.86761819626,58.7187822949851,-17.5570484529832,69.7750508088626,-131.480829466734
12:34:31.800,-159.918262493597,-133.757003828947,55.2139436481079,-165.726696192422,-150.690789254187,58.7578143508448,-17.520324733461,69.7722537179966,-131.572380437167
12:34:31.900,-159.771639905833,-133.55793222092,55.1385622486811,-165.620395484126,-150.513088982585,58.7899428684823,-17.4903810709861,69.7697637645192,-131.655036335271
12:34:32.000,-159.622115370597,-133.358759735168,55.0501994556967,-165.51427557994,-150.334497401648,58.8157092004734,-17.4599022045159,69.7720212834013,-131.75716909139
12:34:32.100,-159.469595473021,-133.159436205941,54.9468803002239,-165.408373061873,-150.155007957761,58.8349206835112,-17.429421286016,69.7739599175551,-131.851201375789
12:34:32.200,-159.31452913683,-132.959997278439,54.832700185056,-165.302636365405,-149.974667800792,58.8444451987039,-17.3995333275726,69.7776826840333,-131.945526656931
12:34:32.300,-159.157500867208,-132.760500050125,54.7132014936341,-165.196991891158,-149.793537506404,58.8423765632826,-17.3774679495343,69.7824189526607,-132.044553223596
12:34:32.400,-158.999095166502,-132.561001618381,54.5938215404175,-165.091366039757,-149.6116776501,58.8346501055954,-17.3444473384505,69.790089520464,-132.13811421696
12:34:32.500,-158.839896539894,-132.361559080747,54.4798706213014,-164.985685208987,-149.429148807222,58.8291604059622,-17.3201854347273,69.7992914092022,-132.231608323969
12:34:32.600,-158.680489489732,-132.162229534764,54.3765243120989,-164.879875799471,-149.246011553514,58.8338047177963,-17.2905319494149,69.8138452555347,-132.317010221181
12:34:32.700,-158.52145851978,-131.963070077735,54.288829695323,-164.773864211832,-149.062326464397,58.8564819386558,-17.2674647908099,69.8173766419432,-132.406987619266
12:34:32.800,-158.363388135221,-131.764137807201,54.2217244410556,-164.667576845274,-148.878154115454,58.9050862040363,-17.2425150472379,69.8326697095484,-132.482941804435
12:34:32.900,-158.206862838402,-131.565489820623,54.1800680381885,-164.560940099003,-148.693555082347,58.9841506177521,-17.2165057315846,69.8416886815249,-132.551618385556
12:34:33.000,-158.052467134506,-131.367183215543,54.1686846387602,-164.453880373642,-148.508589940341,59.0848162350878,-17.1966640477096,69.8467175223796,-132.620327603198
12:34:33.100,-157.900663605241,-131.169277066747,54.1910153824261,-164.346347963835,-148.323303728062,59.1957032317607,-17.1693180338358,69.8515984301831,-132.686699940228
12:34:33.200,-157.751427091614,-130.971838360626,54.2449819342251,-164.238388757339,-148.137679327822,59.308699915515,-17.13645004017,69.8528794100158,-132.749248782419
12:34:33.300,-157.604610479958,-130.774936061291,54.3272306026162,-164.130072543025,-147.951684081802,59.4165306000793,-17.1043851332861,69.8567561367001,-132.817599820846
12:34:33.400,-157.460066663698,-130.578639132776,54.4345214207331,-164.021469112597,-147.765285331627,59.5119410188396,-17.0766815585236,69.8547478967102,-132.87692392078
12:34:33.500,-157.317648532002,-130.383016539511,54.5637099758971,-163.912648252089,-147.578450419399,59.5876885227313,-17.0447560677127,69.8558747222479,-132.921981753209
12:34:33.600,-157.177208972623,-130.188137245371,54.7117298554724,-163.803679750372,-147.391146686664,59.6365267073164,-17.0117157191363,69.8577845878225,-132.97086827406
12:34:33.700,-157.038600877566,-129.994070214784,54.8755756391366,-163.69463339915,-147.203341475444,59.6538821653912,-16.9855814480518,69.8563221451881,-133.033379394505
12:34:33.800,-156.901677138837,-129.800884411705,55.0522861144447,-163.585578985876,-147.015002127603,59.6459397623558,-16.9548699236534,69.8546155846798,-133.082792230388
12:34:33.900,-156.766290639932,-129.608648800484,55.2389274751815,-163.476586299419,-146.826095985083,59.6215758725687,-16.9169455156424,69.8575739669938,-133.135073303108
