TimeInSecondsPosix,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
1600173790,-212.833345774905,-192.5356436767,56.0363978203783,-225.415237496439,-226.158257344506,68.8083430503206,-52.6285405061899,24.3942663178869,-119.882134617303
1600173790.1,-212.819585141896,-192.530079716633,55.9442432047238,-225.429262242853,-226.17471715225,68.781048439074,-52.6402530644746,24.3852481483826,-119.830625084987
1600173790.2,-212.806145833792,-192.524252034286,55.8541810164202,-225.443641916693,-226.191266482129,68.7415906198443,-52.6509597409691,24.3726214473317,-119.789472262773
1600173790.3,-212.79310475988,-192.518283271694,55.7689181979875,-225.458342653086,-226.207900709986,68.6980908256912,-52.662502888375,24.3635990722505,-119.741990087557
1600173790.4,-212.780538835118,-192.512296070974,55.6911078906944,-225.473330585738,-226.224615211344,68.6618727605289,-52.6740712727704,24.3530404075585,-119.698146153202
1600173790.5,-212.768524971628,-192.506413074242,55.6233509369988,-225.488571852612,-226.241405361888,68.6442644631377,-52.6849380217768,24.3419987002074,-119.654347844069
1600173790.6,-212.757140080113,-192.500756923536,55.56820127524,-225.504032587413,-226.258266537379,68.6565963809801,-52.6970596997964,24.331398936774,-119.602227662201
1600173790.7,-212.746461074114,-192.495450260893,55.5281750918763,-225.519678926687,-226.275194113343,68.7064512854571,-52.7072281091412,24.3216795348706,-119.559704633541
1600173790.8,-212.736564865753,-192.49061572835,55.5057636088841,-225.53547700414,-226.292183465461,68.7864270311403,-52.7180564141407,24.3110198752853,-119.515426343299
1600173790.9,-212.727528365734,-192.486375968103,55.5034491942249,-225.551392954897,-226.309229969417,68.8853747070614,-52.7288510173502,24.3021610682473,-119.481579190862
1600173791,-212.719428489014,-192.482853622109,55.5237249124387,-225.567392915502,-226.326329000975,68.9921478296667,-52.7388831645366,24.2916442742862,-119.439559706832
1600173791.1,-212.712326685878,-192.480140117275,55.5678117448971,-225.583443021081,-226.343475935577,69.0956067117001,-52.7509863927229,24.2852397602838,-119.394664060143
1600173791.2,-212.706222573429,-192.4782020176,55.6317632238587,-225.599509406759,-226.360666149147,69.1846210593093,-52.7633468734154,24.2765321497689,-119.352358046591
1600173791.3,-212.701100306935,-192.476974670365,55.7103784266974,-225.615558206242,-226.377895017129,69.2480706288564,-52.775728860005,24.2708008629237,-119.304701285806
1600173791.4,-212.696944040244,-192.476393423009,55.7984843289256,-225.631555557494,-226.395157915285,69.2776050968587,-52.7886067514523,24.2620185025419,-119.261757291951
1600173791.5,-212.693737930039,-192.476393622972,55.8909149049759,-225.64746759422,-226.41245021914,69.2759177785361,-52.801945739828,24.253047293105,-119.223703146716
1600173791.6,-212.691466130169,-192.476910617694,55.9824943806963,-225.663260451547,-226.429767304694,69.2484575691288,-52.8146248112772,24.245618945391,-119.173044684054
1600173791.7,-212.690112797317,-192.477879754455,56.0680245129184,-225.6789002646,-226.447104547234,69.2006687672766,-52.8267681043897,24.2346122854942,-119.123680580952
1600173791.8,-212.68966208817,-192.479236380853,56.1422756893815,-225.69435317134,-226.46445732268,69.1379919192216,-52.8399002022061,24.225239065633,-119.074164767635
1600173791.9,-212.690098153737,-192.480915844169,56.1999817644782,-225.709585302639,-226.481821006479,69.0658644966592,-52.8548734614976,24.2139878084746,-119.031431730565
1600173792,-212.69140515354,-192.482853491923,56.235838918103,-225.724562796458,-226.499190974391,68.9897219026034,-52.8691462255742,24.2052548935301,-118.97390837147
1600173792.1,-212.693565813373,-192.484982056076,56.2465969288684,-225.739267265361,-226.516563735756,68.914655161572,-52.885567723035,24.1948297976437,-118.923068190564
1600173792.2,-212.696557149651,-192.487223805493,56.2373503618639,-225.753742218906,-226.533940334285,68.8443840636762,-52.8986842228718,24.1848777480044,-118.866816215208
1600173792.3,-212.700354749314,-192.489498392847,56.2153031792392,-225.76804664976,-226.551322947189,68.7822859500315,-52.9136257813505,24.1765834770694,-118.812299304792
1600173792.4,-212.70493420498,-192.491725470889,56.1876849696126,-225.782239543502,-226.568713751756,68.7317383414171,-52.9248110970054,24.1674300965849,-118.760314920454
1600173792.5,-212.710271099334,-192.493824692055,56.1617547762179,-225.796379889962,-226.586114925353,68.6961195181869,-52.933994906393,24.1593613398845,-118.706161350934
1600173792.6,-212.716341023575,-192.495715709177,56.1448080816502,-225.810526677556,-226.603528645191,68.678808730794,-52.9419129551129,24.1499410403273,-118.651510453719
1600173792.7,-212.723119566063,-192.497318174847,56.1441863929975,-225.824738894697,-226.620957088557,68.6820798595642,-52.9488168061453,24.1406634549336,-118.594331779989
1600173792.8,-212.73058231374,-192.498551741659,56.1672899444594,-225.839075531218,-226.638402432739,68.7037827438041,-52.9560106655831,24.1326341233645,-118.528840931643
1600173792.9,-212.738704856384,-192.499336062365,56.2215935611971,-225.853595575531,-226.655866855186,68.7406626488045,-52.9626517334137,24.1199368519071,-118.474361008249
1600173793,-212.747462782356,-192.499590789638,56.3146652150134,-225.868358016051,-226.673352532947,68.7894672258974,-52.971517268287,24.1115309650103,-118.420011108603
1600173793.1,-212.756789262419,-192.499288198772,56.451282964672,-225.88340273193,-226.690860845682,68.8464459860336,-52.9819879429095,24.0994925458272,-118.376454165904
1600173793.2,-212.766447809699,-192.498611055782,56.6246738920639,-225.898693189377,-226.708389982686,68.9058471913567,-52.9921528920242,24.0879396488781,-118.323845116451
1600173793.3,-212.7761595254,-192.497794748908,56.8251045210903,-225.914173751013,-226.725937335549,68.9614128292928,-53.0033259621518,24.077349548373,-118.259556333295
1600173793.4,-212.785645502214,-192.497074666547,57.0427441059625,-225.929788780877,-226.743500296176,69.006877606618,-53.0153618420651,24.0663583073112,-118.197951790024
1600173793.5,-212.794626841345,-192.496686197019,57.2676442032166,-225.945482640171,-226.761076256156,69.035970086681,-53.0278282270696,24.0559412347979,-118.142587629977
1600173793.6,-212.802824638321,-192.496864728562,57.4897232256643,-225.961199694351,-226.778662607551,69.0440275742619,-53.0401052368023,24.045430659461,-118.089451789435
1600173793.7,-212.809959991508,-192.497845649575,57.6987559862289,-225.976884307456,-226.796256741872,69.0328367152285,-53.0528595611648,24.0362113144703,-118.041281297946
1600173793.8,-212.815753999272,-192.499864348536,57.884367159323,-225.992480839271,-226.813856051104,69.0058009582566,-53.0649788538946,24.0275695464515,-117.993146599905
1600173793.9,-212.819927759979,-192.503156213524,58.0360279883998,-226.007933658087,-226.831457926833,68.9663281991984,-53.0748926470315,24.0174883986401,-117.939149221314
1600173794,-212.822202369159,-192.507956633018,58.1430557307687,-226.023187122272,-226.849059760966,68.9178289869773,-53.0866261297812,24.0103731106854,-117.885822033511
1600173794.1,-212.822376583234,-192.514414481221,58.1975245383724,-226.038201402307,-226.866657814216,68.8641481193017,-53.0962039104702,24.0000837685137,-117.830751780903
1600173794.2,-212.820559829145,-192.522332528804,58.2030738706122,-226.052999873182,-226.884243823475,68.8108586677786,-53.1058933119415,23.9905843538756,-117.775789462077
1600173794.3,-212.816939214576,-192.531427008983,58.1663295188018,-226.067621713493,-226.901808394842,68.7632848171391,-53.1146592659314,23.9789172911366,-117.725028181533
1600173794.4,-212.81170184438,-192.541414154658,58.094034272681,-226.082106103255,-226.919342134413,68.7240414568464,-53.1220879473595,23.9688505043161,-117.667670097185
1600173794.5,-212.805034826242,-192.552010199047,57.9930629873924,-226.096492218229,-226.936835648126,68.6950630627639,-53.1292017960676,23.9567258989449,-117.612816162016
1600173794.6,-212.797125266431,-192.562931375286,57.8704294928518,-226.110819238429,-226.954279542001,68.6782822481224,-53.1370594807902,23.9439679852245,-117.564241924461
1600173794.7,-212.788160271215,-192.573893916434,57.7332847461708,-226.125126341035,-226.971664422133,68.6756323149676,-53.146370511776,23.93327052887,-117.51786021759
1600173794.8,-212.778326945445,-192.584614055549,57.5889052367763,-226.139452706061,-226.98898089462,68.6882326877663,-53.1553280774241,23.9185476770678,-117.480660663333
1600173794.9,-212.767812399643,-192.594808025611,57.4446719138048,-226.153837510685,-227.006219565401,68.7139345218545,-53.1626155119771,23.9047560800011,-117.442490930464
1600173795,-212.756803735824,-192.604192059994,57.3080391710531,-226.168319934923,-227.023371040573,68.7497727183332,-53.170381724667,23.8910823831693,-117.40531007578
1600173795.1,-212.745481389385,-192.612545734278,57.1854551505404,-226.182928816389,-227.040430842119,68.7924540628643,-53.1805350763385,23.8785317281339,-117.35824037815
1600173795.2,-212.733999093812,-192.619901988802,57.0791756572464,-226.197651647202,-227.057414152476,68.8373764777037,-53.1911201200736,23.8654601231706,-117.320842749667
1600173795.3,-212.722503913137,-192.62635710301,56.9903269156496,-226.212465585589,-227.074341067585,68.8796049103586,-53.2011233814296,23.8541543744224,-117.27649362902
1600173795.4,-212.711142909973,-192.632007356271,56.9199508743848,-226.227347788359,-227.091231683782,68.9141974349721,-53.2131225162522,23.843235421434,-117.22365019133
1600173795.5,-212.700063146934,-192.636949028427,56.8690220392103,-226.242275412321,-227.108106097089,68.9362082487606,-53.2240664581698,23.8309986202951,-117.190239515928
1600173795.6,-212.689411685217,-192.641278398766,56.8384662033214,-226.257225614284,-227.124984403764,68.9406925512671,-53.2384072838374,23.8219709644081,-117.13594128178
1600173795.7,-212.679335587437,-192.645091746732,56.8291816069292,-226.272175552476,-227.141886700144,68.9243627910437,-53.2495333657424,23.8137399743927,-117.087107779743
1600173795.8,-212.669981916206,-192.64848535201,56.8420616042189,-226.287102383705,-227.158833082091,68.8905416819509,-53.2580998941939,23.8050793462514,-117.030368047173
1600173795.9,-212.661497734139,-192.651555493967,56.8780191880107,-226.30198326478,-227.175843646102,68.8442034606718,-53.2678117899969,23.7973793190078,-116.973109732466
1600173796,-212.654030105269,-192.654398452208,56.9380132818669,-226.316795353929,-227.192938488197,68.7903160796737,-53.2751387931316,23.7876180955109,-116.92304464854
1600173796.1,-212.647675130395,-192.657106865166,57.0220586172882,-226.331523634604,-227.210131760989,68.7341064152802,-53.2804968033985,23.7812096974285,-116.862655926411
1600173796.2,-212.642325058804,-192.659758805636,57.1261701262214,-226.346184402504,-227.227413844733,68.6818682131415,-53.2855503063288,23.7694749900642,-116.810548474555
1600173796.3,-212.637821169458,-192.66242870429,57.2453631755913,-226.360801779969,-227.244769176994,68.640156248715,-53.2901396988104,23.7587191419252,-116.764325642991
1600173796.4,-212.634004739903,-192.665190992199,57.3746353748878,-226.375399885087,-227.262182195333,68.6142397499968,-53.292461620964,23.7446992828173,-116.729917922651
1600173796.5,-212.630717047683,-192.668120100112,57.508942095537,-226.390002841618,-227.279637337155,68.6042626446276,-53.2955165942756,23.7302338406049,-116.696984317565
1600173796.6,-212.627799371763,-192.671290459019,57.6431797261801,-226.404634771903,-227.297119040023,68.6090951040545,-53.2958461896984,23.7121308860788,-116.675899091395
1600173796.7,-212.625092991104,-192.674776499513,57.772176748905,-226.419319795448,-227.31461174158,68.6276124492654,-53.2975566268012,23.6938691181715,-116.656353731196
1600173796.8,-212.622439181835,-192.678652652742,57.8906925097632,-226.434082033176,-227.332099879229,68.6586918971547,-53.297026254365,23.6757446531179,-116.640741251066
1600173796.9,-212.619679222917,-192.682993349378,57.9934243275319,-226.448945608847,-227.349567890535,68.7012089373061,-53.2985500815439,23.6591823632601,-116.629744464768
1600173797,-212.616654393314,-192.68787302041,58.0750221797228,-226.463934643384,-227.367000213059,68.7540348337319,-53.3002612064384,23.6428831186351,-116.61275708135
