TimeInSecondsPosix,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
1600171680.3,-210.422288333058,-188.817923440166,31.2774449723064,-205.178335349568,-193.215966587764,26.552977097168,-51.7503577578535,-1.23373524251738,-121.349992656056
1600171680.4,-210.431138150829,-188.823148751459,31.2661403242018,-205.1822140817,-193.227929054761,26.6815183813684,-51.7471391596215,-1.23176659245573,-121.345344782491
1600171680.5,-210.439587448387,-188.828184887516,31.2545817635184,-205.18406195517,-193.238781305785,26.7544214041823,-51.7402162716512,-1.22758759330639,-121.329493635493
1600171680.6,-210.447671824978,-188.833049433348,31.2421516387272,-205.184226551508,-193.248703217506,26.7796569738553,-51.7358358770657,-1.22058647026836,-121.317729160612
1600171680.7,-210.455426874171,-188.837759974043,31.2282342844669,-205.183055450822,-193.257874666437,26.7654953989413,-51.7355043487357,-1.21296679400349,-121.30307802679
1600171680.8,-210.462888195212,-188.842334094453,31.2122171190378,-205.180896231806,-193.266475529486,26.7203448532598,-51.7332429522458,-1.2053989561451,-121.2905861225
1600171680.9,-210.47009138309,-188.846789379667,31.1934913965034,-205.178096477407,-193.274685683244,26.6526227110878,-51.7296845381493,-1.19737503485368,-121.271188643818
1600171681,-210.477072034212,-188.851143414457,31.1714529778631,-205.175003766316,-193.282685004304,26.5706615694297,-51.7280752120889,-1.19232860621065,-121.258794266615
1600171681.1,-210.483865746405,-188.855413783993,31.1455028289443,-205.171965680061,-193.290653369652,26.4826499837032,-51.7251274619474,-1.18758332209428,-121.251132745655
1600171681.2,-210.490508114658,-188.859618073203,31.1150474649565,-205.169329797336,-193.298770655722,26.3966063778376,-51.7220529539353,-1.18212091346847,-121.239365359465
1600171681.3,-210.497034736798,-188.8637738671,31.0794992201855,-205.16744369825,-193.307216739263,26.320385159552,-51.7177237750091,-1.18281435897336,-121.226349010118
1600171681.4,-210.503481209231,-188.867898750533,31.0382763596863,-205.166654967169,-193.316171497106,26.2617129687048,-51.7167430947552,-1.18088326340712,-121.206502670161
1600171681.5,-210.509883128365,-188.872010308513,30.9908030966876,-205.167311179947,-193.325814805682,26.228254203904,-51.7161751887496,-1.18320926018717,-121.191209959984
1600171681.6,-210.516276090609,-188.876126126129,30.9365095061315,-205.169759919533,-193.33632654198,26.2277055458886,-51.7140924549995,-1.18338267381657,-121.174900220371
1600171681.7,-210.522695692371,-188.880263788232,30.8748312146206,-205.174348766035,-193.347886582433,26.2679198784942,-51.7133755988527,-1.18551191954327,-121.153705108499
1600171681.8,-210.529177531475,-188.884440879833,30.8052091175323,-205.181425298148,-193.360674803948,26.3570623945922,-51.7166830214741,-1.18682553877839,-121.137626904936
1600171681.9,-210.535757202912,-188.888674985941,30.7270888703125,-205.191337098816,-193.374871083039,26.4878054625483,-51.7124067486148,-1.18747163127525,-121.122180449527
1600171682,-210.542470304507,-188.892983691487,30.6399203645098,-205.204431745314,-193.390655296535,26.603903640504,-51.7131960299296,-1.18901271007925,-121.114421238039
1600171682.1,-210.549354223764,-188.897383729554,30.5437542924209,-205.220839652864,-193.408100122909,26.6922611358018,-51.7132592245084,-1.19168393592104,-121.106962562788
1600171682.2,-210.556453515397,-188.90188842623,30.4410207770949,-205.239822585633,-193.426849458327,26.7541577026835,-51.7073120646924,-1.18902376115986,-121.094867256592
1600171682.3,-210.563814525219,-188.906510255517,30.3347150883558,-205.260425147155,-193.446440005678,26.7904627641982,-51.7045117628956,-1.18909915632265,-121.087286766786
1600171682.4,-210.571483600459,-188.911261691498,30.2277966437224,-205.281691943801,-193.466408468011,26.8018132348849,-51.7009129803937,-1.18517657448852,-121.073138863015
1600171682.5,-210.579507085509,-188.916155208253,30.1231896037897,-205.302667581941,-193.486291548454,26.7887612519905,-51.6977719026603,-1.18893846301779,-121.062401560824
1600171682.6,-210.587931327598,-188.921203279944,30.0237847129451,-205.322396669362,-193.505625949897,26.7519232613468,-51.6978622430276,-1.18459107710187,-121.048938209918
1600171682.7,-210.596802672538,-188.926418380731,29.9324423917296,-205.339923809599,-193.523948375388,26.6930226291569,-51.6973611676787,-1.18082424648972,-121.043425215121
1600171682.8,-210.606167466139,-188.931812984698,29.8519970959694,-205.354293609021,-193.540795527976,26.6177465654037,-51.6985458781296,-1.18070188625856,-121.033138752793
1600171682.9,-210.616072054213,-188.937399565845,29.7852629603376,-205.364550673998,-193.55570411063,26.5331925184491,-51.7013019145078,-1.17964319838768,-121.023052196806
1600171683,-210.626562783989,-188.943190598572,29.7350406327552,-205.3697396109,-193.568210826479,26.4469089909967,-51.7026076011253,-1.17814030738839,-121.012265099455
1600171683.1,-210.637660110531,-188.949181048475,29.7034363202621,-205.369235784385,-193.578002745076,26.367093087312,-51.7026614516648,-1.17740142142512,-120.998966664218
1600171683.2,-210.649280950029,-188.955295862687,29.6898109304535,-205.363737345502,-193.585368290782,26.3033246982193,-51.7031198059355,-1.17730677256408,-120.993666455945
1600171683.3,-210.661316339271,-188.961442486045,29.6928610029919,-205.354273083049,-193.590746198895,26.2649815372625,-51.7020714668387,-1.17862865784302,-120.979966450354
1600171683.4,-210.673657312207,-188.967528363864,29.7113033106228,-205.341871787241,-193.594575204319,26.2607389800242,-51.7016104181265,-1.17897174851343,-120.961970309803
1600171683.5,-210.686194904208,-188.973460941299,29.7438689418233,-205.327562242621,-193.597294042033,26.2949786166169,-51.7027115172231,-1.17955724431245,-120.952339827612
1600171683.6,-210.698820152062,-188.979147663428,29.7892979542844,-205.312373237985,-193.599341447258,26.357324375023,-51.6980980562887,-1.17878224416011,-120.932379411093
1600171683.7,-210.711424091139,-188.984495975485,29.8463347739346,-205.29733356213,-193.601156154895,26.4342760074347,-51.6970446544782,-1.1790840394601,-120.909781634643
1600171683.8,-210.723897758226,-188.989413322547,29.9137243313091,-205.283472001017,-193.603176900005,26.5130216312007,-51.6970520925547,-1.1812242566473,-120.886974796802
1600171683.9,-210.736132185857,-188.993807149769,29.9902087404635,-205.271817346279,-193.605842417728,26.5813975257037,-51.6907996596133,-1.18063364118795,-120.866032970852
1600171684,-210.748018412238,-188.997584902466,30.0745248750207,-205.26339838104,-193.609591442966,26.6312283037236,-51.6925144007319,-1.18099767591613,-120.850109773697
1600171684.1,-210.759483849116,-189.00069141581,30.1652741062001,-205.258963795565,-193.614761447892,26.667450910681,-51.6866047078332,-1.17813879698778,-120.830478227233
1600171684.2,-210.770601410914,-189.003221079876,30.2605433746803,-205.258141921435,-193.621284871312,26.6942728878002,-51.6842365731726,-1.17910166336726,-120.814451087747
1600171684.3,-210.781480385594,-189.005305670946,30.3583036170308,-205.260281017228,-193.628992898829,26.7147108782242,-51.6872027150041,-1.17546612083753,-120.790148465831
1600171684.4,-210.792230058283,-189.007076965699,30.4565413982066,-205.264729341518,-193.637716715807,26.7316699205989,-51.6889776896521,-1.17051347253747,-120.762858963131
1600171684.5,-210.802959719781,-189.008666740654,30.5532594071775,-205.270835154301,-193.64728750769,26.7480010390126,-51.6880734336845,-1.1683273377269,-120.735977456167
1600171684.6,-210.813778655215,-189.010206772251,30.6464760015854,-205.277946711316,-193.65753646016,26.7665383767344,-51.6927653751895,-1.16533257831081,-120.698452345631
1600171684.7,-210.824796152548,-189.011828837089,30.7342238559412,-205.285412275393,-193.668294758502,26.7901171672299,-51.6900619059458,-1.15644683863977,-120.659590225854
1600171684.8,-210.836121501161,-189.013664711689,30.8145475014912,-205.292580100854,-193.679393588162,26.8203709863203,-51.6938790715089,-1.15493691860579,-120.61851584635
1600171684.9,-210.847863986181,-189.015846172569,30.8854999199984,-205.298798449111,-193.690664134819,26.8540988604415,-51.6959792510583,-1.15042714569143,-120.577906959495
1600171685,-210.860132895572,-189.018504996408,30.9451382511847,-205.303415577322,-193.70193758392,26.8868386890811,-51.6976192200085,-1.14678907222657,-120.54165419433
1600171685.1,-210.87299264492,-189.021732969394,30.9920366749082,-205.305935583466,-193.713059515318,26.9157329918528,-51.6964071212694,-1.14225337887856,-120.496857415296
1600171685.2,-210.886328140449,-189.025461903137,31.0268331791593,-205.306485974184,-193.723933092783,26.9445345569483,-51.692136415977,-1.13882219870357,-120.461057791644
1600171685.3,-210.899979404661,-189.029583611768,31.0506691624529,-205.305350123883,-193.734475877034,26.9786818560083,-51.6929656232416,-1.13815712637624,-120.415948055737
1600171685.4,-210.913786464314,-189.033989909261,31.0646750841315,-205.302811406971,-193.744605428711,27.022407082121,-51.6870035106936,-1.13569602093927,-120.369016890763
1600171685.5,-210.927589340493,-189.03857260975,31.0699748971198,-205.299153199272,-193.754239308616,27.0750222804185,-51.6851202549526,-1.13446175088253,-120.316660885936
1600171685.6,-210.941228061371,-189.043223527208,31.0676898547215,-205.294658872357,-193.763295077545,27.1345953356418,-51.6838555876608,-1.13466453806098,-120.273581197855
