TimeInSecondsPosix,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
1600172475.4,-216.771364635174,-214.851778202653,75.668775648349,-220.086004327931,-210.313111702522,62.8186206166801,-56.4366767988433,0.393528057708967,-130.148406760276
1600172475.5,-216.778881155393,-214.854200080461,75.7131271814692,-220.106778540974,-210.305992843173,62.7217379936898,-56.4317482555986,0.408334398141302,-130.153241629217
1600172475.6,-216.786037200472,-214.856327090791,75.7641965564245,-220.130044695425,-210.300104350669,62.6996118973422,-56.4290509481171,0.420080062756826,-130.170098547094
1600172475.7,-216.792867476236,-214.858218206902,75.8208292450405,-220.15555073905,-210.295322548468,62.744308856103,-56.4251626379548,0.430391908524342,-130.18449957492
1600172475.8,-216.799406692761,-214.859932401891,75.8818670391921,-220.183044625289,-210.291523760424,62.8482537195227,-56.4243043945383,0.444016061326558,-130.201580750535
1600172475.9,-216.805689555874,-214.861528649175,75.946153078192,-220.212274304742,-210.288584310153,63.0040808368075,-56.4224858025558,0.453312403090521,-130.215643773328
1600172476,-216.811750772814,-214.863065921852,76.0125356855146,-220.242987728013,-210.286380521191,63.2045051765112,-56.423294181788,0.467090879827026,-130.222708426979
1600172476.1,-216.817625050826,-214.864603193259,76.0798714451286,-220.27493284712,-210.284788717233,63.4422098360161,-56.4170249837483,0.483834580253222,-130.223997578216
1600172476.2,-216.823347098568,-214.866199436653,76.1470267545133,-220.307857614086,-210.283685221895,63.7097505549666,-56.4168298792432,0.493905216225731,-130.23252998454
1600172476.3,-216.828951620446,-214.867913625053,76.2128786416014,-220.341509978092,-210.282946358794,63.9994771095754,-56.4165221102142,0.507671879417866,-130.232009642069
1600172476.4,-216.83447332654,-214.869804732035,76.2763143249419,-220.375637892579,-210.282448451545,64.3034716831619,-56.4127587824275,0.52209103599208,-130.226467730725
1600172476.5,-216.839946922672,-214.871931730617,76.3362296338874,-220.409989308147,-210.282067823923,64.6135056252519,-56.4111022781155,0.535610169473597,-130.222829696273
1600172476.6,-216.845407117504,-214.874353594136,76.3915265903108,-220.444312175398,-210.281680799463,64.9210152821038,-56.4049275727193,0.550233429617355,-130.201721836462
1600172476.7,-216.850888616858,-214.877129295771,76.4411096387922,-220.478354446354,-210.281163701704,65.2178400029119,-56.4030801658127,0.564429199790597,-130.176263094452
1600172476.8,-216.856426129396,-214.880317808698,76.4838811254679,-220.511864070198,-210.280392854419,65.4985054334572,-56.399313981918,0.579222231122377,-130.140094185457
1600172476.9,-216.86205436236,-214.883978106413,76.5187351873839,-220.544589001786,-210.279244581304,65.7581018763973,-56.3983480884751,0.592008450625085,-130.106123584311
1600172477,-216.867808021572,-214.888169161936,76.5445510825805,-220.576277190303,-210.277595205815,65.9915857650117,-56.397452464647,0.604339593575596,-130.069528474869
1600172477.1,-216.873705803622,-214.892903528493,76.5604580181671,-220.606689095648,-210.275335409068,66.1939911238564,-56.3923477432211,0.62096258039069,-130.022353881237
1600172477.2,-216.879702348295,-214.898008083943,76.5666508731314,-220.635635206412,-210.27241330058,66.3610073305125,-56.3917133440731,0.635226368840272,-129.965070199959
1600172477.3,-216.885736286143,-214.903263288102,76.5635789901099,-220.662938523315,-210.268791346496,66.488546102131,-56.3896922889241,0.648734816001294,-129.906374087217
1600172477.4,-216.891746247717,-214.908449600941,76.5516835296743,-220.688422042829,-210.264432013039,66.5726892733049,-56.3878517032087,0.66077359414965,-129.851306920819
1600172477.5,-216.897670862149,-214.913347482434,76.5314071511848,-220.711908762838,-210.259297766353,66.6099512235671,-56.3852058028337,0.672575320847756,-129.800263452287
1600172477.6,-216.903448759989,-214.917737392315,76.5032028310199,-220.733221681231,-210.253351072661,66.597100893084,-56.3840264755932,0.685510745180097,-129.743409121134
1600172477.7,-216.909018570372,-214.921399790795,76.467542207075,-220.752183795895,-210.246554398107,66.5311503850928,-56.3791770780207,0.700490043113072,-129.68401295178
1600172477.8,-216.914318922428,-214.924115137608,76.4249228997725,-220.768618103297,-210.238870209073,66.4094228670322,-56.3777986939548,0.716329364520108,-129.625995006759
1600172477.9,-216.919288446709,-214.925663892727,76.3758752260276,-220.782347604163,-210.230260971545,66.2296225651349,-56.3777799931131,0.724344333748777,-129.571883768096
1600172478,-216.923865772347,-214.925826516046,76.3209675405592,-220.793195293541,-210.220689151745,65.9899039938854,-56.3784457782495,0.738140850115785,-129.510408595668
1600172478.1,-216.928016210536,-214.92446036667,76.2610149580016,-220.801161781228,-210.2101782538,65.6925259310492,-56.3749490470083,0.748576983032236,-129.451940827793
1600172478.2,-216.931811761007,-214.921730343084,76.1976818498566,-220.806957982834,-210.198995887246,65.3542768788614,-56.3756117760809,0.757878873119129,-129.403231443178
1600172478.3,-216.935351098458,-214.917878214171,76.1328420096212,-220.81147235923,-210.187470676979,64.9949195505054,-56.3733247299266,0.770806142859926,-129.349909172675
1600172478.4,-216.938732894754,-214.913145748972,76.0683612121379,-220.815593371282,-210.175931247498,64.633295643308,-56.3740962421092,0.782011718079956,-129.300405672303
1600172478.5,-216.942055823177,-214.907774716289,76.0060894325189,-220.820209478442,-210.164706223776,64.2872393233027,-56.3731146372364,0.795493418361705,-129.244256737805
1600172478.6,-216.94541855559,-214.902006885242,75.9478555320249,-220.826209141577,-210.154124230392,63.9736269323328,-56.3698045130829,0.803750936479717,-129.190886269901
1600172478.7,-216.948919765277,-214.896084024715,75.8954648925212,-220.834480821555,-210.144513892082,63.7088293605638,-56.3701619718664,0.813558808072772,-129.143524552324
1600172478.8,-216.952658122682,-214.890247903667,75.8506991600537,-220.845912977827,-210.136203833583,63.5098353047433,-56.3659996795529,0.825234358331219,-129.091244965745
1600172478.9,-216.956732302506,-214.884740290983,75.8153192235348,-220.861394071261,-210.129522679711,63.3937967964122,-56.3639445212838,0.835912128355784,-129.032783618761
1600172479,-216.961240976612,-214.879802955701,75.7910699835013,-220.881812562726,-210.124799055122,63.3782510640152,-56.3625639377029,0.846030898772363,-128.977594271554
1600172479.1,-216.966257523151,-214.87563411792,75.7789336162762,-220.907715310384,-210.122232297849,63.4746545465426,-56.3583559292267,0.855845983963172,-128.924225628678
1600172479.2,-216.971754151085,-214.872257811003,75.7768781663444,-220.938282815468,-210.121504623635,63.6674113280514,-56.3596743307716,0.868277672584469,-128.874674478363
1600172479.3,-216.977677774246,-214.869654523659,75.7821275311406,-220.972354014799,-210.122168973745,63.9344081648961,-56.3606241001096,0.878990957464281,-128.82426125219
1600172479.4,-216.983975310719,-214.867804744515,75.7919133550055,-221.008767842356,-210.123778289364,64.2533249682735,-56.3614753280514,0.891443962127227,-128.768662864019
1600172479.5,-216.990593677172,-214.866688962357,75.8034714965054,-221.046363230703,-210.125885511835,64.6010779696731,-56.3627807211166,0.902220752339393,-128.725555699883
1600172479.6,-216.997479788852,-214.866287665815,75.8140391741473,-221.08397911666,-210.128043582423,64.9535078891271,-56.3623926364607,0.911278408892922,-128.679574010911
1600172479.7,-217.004580561011,-214.866581343595,75.8208523976147,-221.120454431371,-210.129805442312,65.2853840670235,-56.3624323511095,0.921012632599576,-128.631632059868
1600172479.8,-217.011842911732,-214.867550484325,75.821144031411,-221.154628108818,-210.130724032687,65.5703735053198,-56.3639643084109,0.927342348470852,-128.591923632795
1600172479.9,-217.019213756265,-214.869175576791,75.8121420141438,-221.185339084401,-210.130352295051,65.7813240962661,-56.3639647281765,0.936813664116699,-128.547298965516
1600172480,-217.026640011278,-214.871437109464,75.7910682854012,-221.211426292102,-210.128243170429,65.890841920316,-56.360006254759,0.947891708323252,-128.498659136743
1600172480.1,-217.034096398655,-214.874299893588,75.7562714798938,-221.232077920822,-210.12408470914,65.8799825317645,-56.3576857422238,0.956322717944369,-128.451714439371
1600172480.2,-217.041668842715,-214.877666042471,75.7106273055464,-221.247878892672,-210.118105282851,65.7625533426506,-56.3611918160862,0.968195195007839,-128.401667042882
1600172480.3,-217.049471064488,-214.881421998389,75.6581399430517,-221.259763237198,-210.110668315843,65.5612049412172,-56.3589687529893,0.97814860842922,-128.348460563053
1600172480.4,-217.057616780747,-214.885454203539,75.6028101414363,-221.268664983946,-210.10213723208,65.2988440587078,-56.3531610220093,0.987509557426567,-128.30705199555
1600172480.5,-217.066219709684,-214.889649100276,75.5486389860907,-221.275518165298,-210.092875455446,64.9980585298847,-56.3509781131807,0.999867453924437,-128.262420241351
1600172480.6,-217.07539357091,-214.893893130876,75.4996344998885,-221.281256809381,-210.083246410141,64.6807238263811,-56.3462645395652,1.01399026786632,-128.207639018487
1600172480.7,-217.085252085454,-214.898072737615,75.4598215810044,-221.28681494716,-210.073613520051,64.3677892539461,-56.3439915541409,1.0261932287125,-128.16603368696
1600172480.8,-217.095908970088,-214.902074362689,75.4332547405744,-221.293126609596,-210.064340209217,64.0789137699231,-56.3415217284238,1.03790391120513,-128.123777149257
1600172480.9,-217.107477945843,-214.905784448455,75.4240347614007,-221.30112582482,-210.055789901762,63.8316624493812,-56.3375268843011,1.05247132208935,-128.086869210056
1600172481,-217.120072728073,-214.909089437266,75.4363281597647,-221.311746625211,-210.048326021649,63.6427626386197,-56.33483491465,1.0653740959852,-128.040901624438
1600172481.1,-217.133767823757,-214.911915090477,75.4730473318418,-221.325680049913,-210.042216968584,63.5236363994229,-56.3319313675295,1.08041770537436,-127.994283334222
1600172481.2,-217.148480892183,-214.91434443519,75.5318013862513,-221.342645241696,-210.03735107183,63.4656008939363,-56.3302761154237,1.09199670755831,-127.955675603558
1600172481.3,-217.164090382842,-214.91649981203,75.6088522332249,-221.362118388379,-210.033521649969,63.4554134271401,-56.3287259252624,1.10491103295867,-127.912118793495
1600172481.4,-217.18047474381,-214.918503561542,75.7004237244616,-221.383575677781,-210.030522021343,63.4801939547136,-56.3236402209207,1.11675828314869,-127.868161868199
1600172481.5,-217.19751242883,-214.920478024506,75.8026796825261,-221.40649329914,-210.028145504453,63.5272486692293,-56.3223388766083,1.1261869017768,-127.828375834905
1600172481.6,-217.215081884561,-214.922545541628,75.9117067729021,-221.43034743744,-210.026185417879,63.5839370516258,-56.318274435063,1.1367512510906,-127.794795522645
1600172481.7,-217.233061563329,-214.92482845345,76.023502294577,-221.4546142805,-210.024435080044,63.638633451632,-56.3192712280768,1.14715350346766,-127.756611071203
1600172481.8,-217.251329914627,-214.927449100598,76.1339671982826,-221.478770017557,-210.022687809369,63.6838412843092,-56.3160575691815,1.15835839401826,-127.716618052307
1600172481.9,-217.269765387947,-214.930529823695,76.2389045390186,-221.502290835014,-210.020736924514,63.7130403294738,-56.3145478509489,1.16885709587742,-127.66951543912
1600172482,-217.288246434198,-214.934192963523,76.3340237996458,-221.52465292069,-210.018375743822,63.7196691139008,-56.3144073273187,1.17722153364095,-127.627703844235
1600172482.1,-217.306677796367,-214.93854059195,76.4162274392605,-221.545500191385,-210.015465937158,63.7006136771406,-56.3138358291972,1.1864897075885,-127.586435060784
1600172482.2,-217.325069374399,-214.94359372567,76.487496361424,-221.565147332333,-210.012142515934,63.6665290421761,-56.309756657566,1.19783551152268,-127.539515301647
1600172482.3,-217.343457348971,-214.949353121748,76.5511426484876,-221.584076671244,-210.008608811095,63.6303770826885,-56.305895981028,1.20727621311754,-127.499191651171
1600172482.4,-217.361877900757,-214.955819537488,76.6105376541917,-221.602770547171,-210.005068153509,63.6005550451799,-56.3053669586487,1.21911391651515,-127.4624460516
1600172482.5,-217.380367211853,-214.962993730431,76.6691043131054,-221.621711290659,-210.00172387388,63.5842790204265,-56.3008872100801,1.23168971332652,-127.433533390216
1600172482.6,-217.398961460098,-214.970876457644,76.7303108348608,-221.641381236509,-209.998779303155,63.5887327290715,-56.2978718649115,1.24648417099342,-127.400233913727
1600172482.7,-217.417696829005,-214.979468476511,76.7976656958238,-221.662262716683,-209.996437772277,63.6211114068131,-56.2928317661184,1.26021869052352,-127.366835363692
1600172482.8,-217.436609497832,-214.988770544413,76.8747135783078,-221.684838067399,-209.994902612113,63.6886923284949,-56.2942323963437,1.27846165006543,-127.325287716766
1600172482.9,-217.455735648672,-214.998783418497,76.965032920832,-221.709589619204,-209.994377153369,63.7992444324431,-56.2889419513233,1.28992099029051,-127.29155852325
1600172483,-217.475111462203,-215.009507856305,77.0722345408522,-221.736999708313,-209.99506472691,63.9621041471768,-56.2874493654839,1.3052235867478,-127.251764723328
1600172483.1,-217.494744532494,-215.02090684925,77.1988545772475,-221.767340562656,-209.997079881704,64.1831298603879,-56.2838078590676,1.31789749140987,-127.214478839706
1600172483.2,-217.514528127048,-215.032792340351,77.3430102126832,-221.800044081943,-210.00018207151,64.4513449750899,-56.2779871805873,1.3298861605672,-127.189121287695
1600172483.3,-217.534326931014,-215.044938514119,77.5016779983738,-221.834332100141,-210.004041985173,64.7512585739603,-56.2765638319663,1.34140330967497,-127.165395362939
1600172483.4,-217.554005630963,-215.057119555065,77.6717947606441,-221.869426452631,-210.008330311385,65.0668683952632,-56.2707985001496,1.35128171984231,-127.137128709681
1600172483.5,-217.573428910625,-215.069109647541,77.8502585045967,-221.904548974797,-210.012717738913,65.3814992615863,-56.2684837466285,1.36286353826016,-127.106792319791
1600172483.6,-217.592461457988,-215.080682976058,78.0339307427652,-221.938921499186,-210.016874956366,65.6777330183968,-56.2696402944938,1.37325996257225,-127.068115892841
1600172483.7,-217.610967958202,-215.091613725048,78.2196392449619,-221.971765862601,-210.020472652513,65.9379597621234,-56.2669079195659,1.38025465535375,-127.031555528316
1600172483.8,-217.628813097836,-215.1016760791,78.404181915827,-222.002303899005,-210.023181516122,66.1460833310363,-56.2671907224676,1.38818543215171,-126.995029062681
1600172483.9,-217.645861562041,-215.110644222567,78.5843315071257,-222.029757445201,-210.024672235881,66.2862050364023,-56.2649364222857,1.395825954517,-126.952735219401
1600172484,-217.661978035967,-215.118292339881,78.7568410829029,-222.053348332317,-210.024615500481,66.3424616701524,-56.2637236938981,1.40606933381761,-126.91225394493
1600172484.1,-217.677087234084,-215.124478091641,78.9192579400011,-222.072548181803,-210.022784690371,66.305085228625,-56.2605959408867,1.41327527930825,-126.878506967478
1600172484.2,-217.691353911559,-215.129392956587,79.0723711256747,-222.087827488517,-210.019363846839,66.1875168657767,-56.259608021094,1.42430346306871,-126.847574634331
1600172484.3,-217.705002817426,-215.133311846684,79.2178211558175,-222.099906405751,-210.014639650145,66.0093884398006,-56.2552158050011,1.43692376799731,-126.820056100481
1600172484.4,-217.718258706391,-215.136509673814,79.3572915442823,-222.109505083961,-210.008898780467,65.7894270871027,-56.2538329481625,1.44859639811086,-126.787232099269
1600172484.5,-217.731346327488,-215.139261349783,79.4925041344381,-222.117343673602,-210.002427917988,65.5419773894208,-56.2531370122262,1.46582776170264,-126.7526662687
1600172484.6,-217.744490432587,-215.141841786553,79.6252168217907,-222.124142330805,-209.995513742808,65.2799532901457,-56.2507724980441,1.4745748237831,-126.728973551809
1600172484.7,-217.757915773556,-215.144525895928,79.7572230919439,-222.130621203187,-209.988442935267,65.0157539831121,-56.2509956148134,1.48961404168268,-126.696124125881
1600172484.8,-217.771847102267,-215.147588589873,79.8903537739275,-222.137500444042,-209.981502175543,64.7612064155669,-56.2465521830611,1.49915131675427,-126.672529411648
1600172484.9,-217.786509167753,-215.15130478027,80.0264810326649,-222.145500205244,-209.974978143502,64.5275790939435,-56.2440966024306,1.51023367203648,-126.655732890632
1600172485,-217.802126723301,-215.155949378924,80.167524863371,-222.155340638667,-209.969157519719,64.3265497447489,-56.2429563573541,1.51969897497491,-126.638325485715
1600172485.1,-217.818853206008,-215.161710426067,80.3148711733761,-222.167594369844,-209.964275541132,64.1698375234689,-56.2402722540539,1.53026684456124,-126.613090100774
1600172485.2,-217.836556822232,-215.16842851605,80.4675649793268,-222.182243982756,-209.960361697188,64.0574046244406,-56.2397206947991,1.53979860679364,-126.584701711747
1600172485.3,-217.855034483414,-215.175857391892,80.6240044931558,-222.19912457475,-209.957394046395,63.986325700462,-56.2396741235059,1.54904342228101,-126.550374701917
1600172485.4,-217.874083099575,-215.183750796773,80.7825117280884,-222.218071238919,-209.955350647181,63.9539321413221,-56.2410705504025,1.55793923226852,-126.522322023863
1600172485.5,-217.893499579318,-215.191862473951,80.9413258403767,-222.23891907261,-209.954209558213,63.9577741664737,-56.2385823443404,1.5679389883243,-126.502263465993
1600172485.6,-217.9130808355,-215.199946166368,81.0986001597095,-222.261503167498,-209.95394883784,63.9955865007777,-56.2393389066274,1.5762524725521,-126.471762620517
1600172485.7,-217.932623776725,-215.207755617441,81.2524023095354,-222.28565862093,-209.954546544648,64.0651178239167,-56.2399452708212,1.5861190047963,-126.447091824098
1600172485.8,-217.951925313013,-215.21504457011,81.4007187745569,-222.311220525999,-209.955980737227,64.1636828864674,-56.237593891332,1.59421799443496,-126.420556033014
