TimeInSecondsPosix,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
1600171085.3,-306.076246349729,-325.32006683678,57.5802390311214,-296.944965778841,-320.878556468419,52.6977474336117,-36.1497707523865,15.1473983883464,-125.37416050799
1600171085.4,-306.048289578304,-325.208735954308,57.7587882942495,-296.941896360487,-320.873712046313,52.7169652578978,-36.1488382927075,15.1509061186123,-125.467936244605
1600171085.5,-306.023039027289,-325.098849050702,57.9814784791716,-296.938421413096,-320.868404412272,52.7291803658029,-36.1515174708525,15.1557977699707,-125.564762523058
1600171085.6,-306.000199377392,-324.990304913721,58.2430031214814,-296.934553160923,-320.862639884706,52.7348286568147,-36.1550277891692,15.1622070665775,-125.660283172061
1600171085.7,-305.97947531216,-324.883002331203,58.5381858187788,-296.930303828224,-320.85642478218,52.7343470582922,-36.1579362756263,15.1692262996579,-125.747559309608
1600171085.8,-305.960571513718,-324.776840090828,58.861854327027,-296.925685639253,-320.849765422943,52.7281729058219,-36.1635061682598,15.1760981421833,-125.851960003419
1600171085.9,-305.943192664194,-324.671716980434,59.2087322009426,-296.920710821104,-320.842668125402,52.7167433559033,-36.1676533858825,15.1838807633431,-125.943597922926
1600171086,-305.927043445714,-324.567531787621,59.5733464590983,-296.915391595195,-320.835139208203,52.7004948088414,-36.1726003023816,15.1906271410882,-126.043320789472
1600171086.1,-305.911828538986,-324.464183300306,59.9499504283567,-296.909740187199,-320.827184989435,52.6798623795737,-36.1753242082546,15.1978744805416,-126.137483047694
1600171086.2,-305.897252628975,-324.36157030617,60.3324620190195,-296.90376882279,-320.818811787665,52.6552797962305,-36.1761347231862,15.2035959735578,-126.238189957441
1600171086.3,-305.88302039497,-324.259591592971,60.714418868686,-296.897489724805,-320.810025921378,52.6271787360751,-36.1769404179038,15.2105188468577,-126.332497251331
1600171086.4,-305.868836521935,-324.158145948467,61.0889519690243,-296.890915118918,-320.800833708905,52.5959889310811,-36.1734009003505,15.2127698888861,-126.435328765521
1600171086.5,-305.854405690578,-324.057132160339,61.4487799039168,-296.884057227966,-320.79124146865,52.5621377755056,-36.1681777468781,15.2135359538047,-126.537986302207
1600171086.6,-305.839432583026,-323.956449016584,61.7862265694734,-296.876928279041,-320.781255519023,52.5260505891524,-36.1625060695917,15.2122792242091,-126.644306873784
1600171086.7,-305.823621882825,-323.855995304642,62.0932644041981,-296.869540494979,-320.77088217843,52.4881502489568,-36.1536590639668,15.2093283638124,-126.749955398392
1600171086.8,-305.806678270681,-323.755669812432,62.3615854214561,-296.861906100038,-320.760127765517,52.4488575331609,-36.1441161465139,15.2051615639244,-126.845491323433
1600171086.9,-305.788306428724,-323.655371327791,62.5827018006388,-296.854037321307,-320.748998598374,52.4085913689702,-36.1341902709343,15.199197463435,-126.942036333094
1600171087,-305.768211039078,-323.554998638399,62.7480767367783,-296.845946378788,-320.737500995487,52.3677629507978,-36.1243398666597,15.1928300849501,-127.02962132078
1600171087.1,-305.746186549898,-323.454497375868,62.8518287243814,-296.837639520749,-320.725640699347,52.3266368232439,-36.1146254139736,15.1874594837873,-127.105517888669
1600171087.2,-305.722386456421,-323.354000543723,62.8985692293234,-296.829099063146,-320.713421148147,52.2849763629102,-36.1086544423858,15.181133850451,-127.179625947693
1600171087.3,-305.697054012822,-323.253687987121,62.8958462462145,-296.820301348782,-320.7008452044,52.2424270235119,-36.1023011721005,15.1750110821669,-127.257305885629
1600171087.4,-305.670432474692,-323.153739551059,62.8514807704475,-296.811222714789,-320.687915730301,52.1986414460879,-36.0973711015329,15.1706425623909,-127.328967008685
