TimeOfDay,V1x,V1y,V1Heading,V2x,V2y,V2Heading,V3x,V3y,V3Heading
11:58:05.300,-301.259234723954,-315.088598823868,32.680831838893,-296.944965778841,-320.878556468419,52.6977474336117,-36.1497707523865,15.1473983883464,-125.37416050799
11:58:05.400,-301.179436778554,-314.990986677569,32.860283993618,-296.941896360487,-320.873712046313,52.7169652578978,-36.1488382927075,15.1509061186123,-125.467936244605
11:58:05.500,-301.100925772131,-314.891798787791,33.0567753119779,-296.938421413096,-320.868404412272,52.7291803658029,-36.1515174708525,15.1557977699707,-125.564762523058
11:58:05.600,-301.023565063888,-314.791123425294,33.2692754706934,-296.934553160923,-320.862639884706,52.7348286568147,-36.1550277891692,15.1622070665775,-125.660283172061
11:58:05.700,-300.947218011608,-314.689048860597,33.4967507704751,-296.930303828224,-320.85642478218,52.7343470582922,-36.1579362756263,15.1692262996579,-125.747559309608
11:58:05.800,-300.87174797591,-314.585663364618,33.7381752453317,-296.925685639253,-320.849765422943,52.7281729058219,-36.1635061682598,15.1760981421833,-125.851960003419
11:58:05.900,-300.797018311742,-314.481055207955,33.9925409347002,-296.920710821104,-320.842668125402,52.7167433559033,-36.1676533858825,15.1838807633431,-125.943597922926
11:58:06.000,-300.722892379725,-314.37531266121,34.2588671860607,-296.915391595195,-320.835139208203,52.7004948088414,-36.1726003023816,15.1906271410882,-126.043320789472
11:58:06.100,-300.64923353764,-314.268523995219,34.5362088819262,-296.909740187199,-320.827184989435,52.6798623795737,-36.1753242082546,15.1978744805416,-126.137483047694
11:58:06.200,-300.575905144692,-314.160777480742,34.8236638557947,-296.90376882279,-320.818811787665,52.6552797962305,-36.1761347231862,15.2035959735578,-126.238189957441
11:58:06.300,-300.502770557244,-314.052161388298,35.120379179009,-296.897489724805,-320.810025921378,52.6271787360751,-36.1769404179038,15.2105188468577,-126.332497251331
11:58:06.400,-300.429693137334,-313.942763988646,35.425556762922,-296.890915118918,-320.800833708905,52.5959889310811,-36.1734009003505,15.2127698888861,-126.435328765521
11:58:06.500,-300.356536239911,-313.832673552544,35.7384578689153,-296.884057227966,-320.79124146865,52.5621377755056,-36.1681777468781,15.2135359538047,-126.537986302207
11:58:06.600,-300.283163225594,-313.721978350513,36.0584072142908,-296.876928279041,-320.781255519023,52.5260505891524,-36.1625060695917,15.2122792242091,-126.644306873784
11:58:06.700,-300.209437452166,-313.610766653549,36.3847961331989,-296.869540494979,-320.77088217843,52.4881502489568,-36.1536590639668,15.2093283638124,-126.749955398392
11:58:06.800,-300.135222277411,-313.499126732093,36.7170854856428,-296.861906100038,-320.760127765517,52.4488575331609,-36.1441161465139,15.2051615639244,-126.845491323433
11:58:06.900,-300.060381060531,-313.387146856984,37.0548079337589,-296.854037321307,-320.748998598374,52.4085913689702,-36.1341902709343,15.199197463435,-126.942036333094
11:58:07.000,-299.984777160728,-313.27491529882,37.3975701064402,-296.845946378788,-320.737500995487,52.3677629507978,-36.1243398666597,15.1928300849501,-127.02962132078
11:58:07.100,-299.90831715888,-313.162503205909,37.7443363812714,-296.837639520749,-320.725640699347,52.3266368232439,-36.1146254139736,15.1874594837873,-127.105517888669
11:58:07.200,-299.831080535338,-313.049913238658,38.0912033733466,-296.829099063146,-320.713421148147,52.2849763629102,-36.1086544423858,15.181133850451,-127.179625947693
11:58:07.300,-299.753189987874,-312.937130935657,38.4334227532983,-296.820301348782,-320.7008452044,52.2424270235119,-36.1023011721005,15.1750110821669,-127.257305885629
11:58:07.400,-299.674768217098,-312.824141835737,38.7660954335578,-296.811222714789,-320.687915730301,52.1986414460879,-36.0973711015329,15.1706425623909,-127.328967008685
11:58:07.500,-299.595937925037,-312.710931477487,39.0841731046101,-296.801839501135,-320.674635588127,52.1531916209792,-36.0947430185066,15.1673070435145,-127.391901005128
11:58:07.600,-299.516821810881,-312.597485399658,39.3824677802936,-296.79212804637,-320.661007640391,52.1052991092825,-36.0929852911201,15.1657114800269,-127.45638449281
11:58:07.700,-299.437542573822,-312.483789140998,39.6556698173232,-296.782064689042,-320.64703474913,52.0540957871119,-36.0943591315068,15.1663928651889,-127.52556187118
11:58:07.800,-299.358222915886,-312.369828240338,39.8983744550289,-296.77162577054,-320.632719776857,51.9987121119816,-36.0982883716527,15.1685072186212,-127.595825154593
11:58:07.900,-299.278985536266,-312.255588236108,40.1051168734266,-296.760787629411,-320.618065585928,51.9382770679071,-36.102055779391,15.1748141701269,-127.653253766408
11:58:08.000,-299.19995313557,-312.141054667218,40.2704161078326,-296.749526602787,-320.603075038619,51.8719180526527,-36.1080216471395,15.1792318456753,-127.715182838677
11:58:08.100,-299.121234322478,-312.026193658764,40.3910165264616,-296.7378303558,-320.587747257043,51.7998104052659,-36.1136226095192,15.1859335595557,-127.779260315118
11:58:08.200,-299.042881328029,-311.910893672182,40.4725180552757,-296.725731847141,-320.572066401165,51.7263229225869,-36.1196262363192,15.1915671172023,-127.849239614667
11:58:08.300,-298.964932291332,-311.795023751127,40.522818261749,-296.713275362082,-320.556012889678,51.6568610807326,-36.1242988388253,15.1962665234657,-127.924916083847
11:58:08.400,-298.887425350079,-311.678452939173,40.5498711603099,-296.700505184476,-320.53956714183,51.5968178802883,-36.12865306613,15.1992239082659,-127.997824813953
11:58:08.500,-298.810398643379,-311.56105027958,40.5616415959684,-296.687465601016,-320.522709576234,51.551579407614,-36.1287560590271,15.202126181265,-128.05283037943
11:58:08.600,-298.73389030467,-311.442684816081,40.5660725774291,-296.674200895555,-320.50542061174,51.5246850530052,-36.1272255170165,15.2003796262979,-128.114559848953
11:58:08.700,-298.657938474479,-311.323225592013,40.5710658920518,-296.660755354783,-320.487680667359,51.512289446556,-36.1246183598733,15.1980881910751,-128.163400128302
11:58:08.800,-298.582581290498,-311.202541650952,40.5844748896686,-296.647173263973,-320.469470162101,51.5087058781194,-36.1202332074714,15.1940891290855,-128.209542169027
11:58:08.900,-298.507856887581,-311.080502036394,40.6141099167216,-296.633498906979,-320.450769514578,51.5082459230446,-36.1154799972041,15.1873766253705,-128.258051858526
11:58:09.000,-298.433803407676,-310.956975791914,40.6677558217696,-296.619776570492,-320.431559143722,51.5063264469143,-36.1073865644543,15.1801481905728,-128.307585752774
11:58:09.100,-298.360425461113,-310.831884949818,40.7514065603711,-296.606034858134,-320.411830970274,51.5022460031033,-36.0992455379416,15.1722467250884,-128.346938870572
11:58:09.200,-298.287593570053,-310.705363488761,40.8639184074436,-296.592239649769,-320.391622919046,51.494191350249,-36.0917445901759,15.1622377357196,-128.382516494412
11:58:09.300,-298.215144739225,-310.577598371287,41.0024056964855,-296.5783411507,-320.370984415472,51.4797946849573,-36.0840238468944,15.153290774059,-128.412973849605
11:58:09.400,-298.142915970521,-310.448776559857,41.1640262154917,-296.56428955914,-320.349964885142,51.4566875819674,-36.0779761503773,15.1454593769695,-128.435120512002
11:58:09.500,-298.070744261577,-310.319085017015,41.3459711978345,-296.550035081813,-320.32861375365,51.4224984193336,-36.0735692339792,15.1395163777935,-128.457296343201
11:58:09.600,-297.998466618541,-310.188710705146,41.5454562932864,-296.535527918348,-320.306980446427,51.3759264066321,-36.0706344001391,15.1341058483765,-128.475600018679
11:58:09.700,-297.925920041886,-310.057840586792,41.7597130636389,-296.520718268377,-320.285114389145,51.3199769315433,-36.0706202117777,15.1305996246214,-128.489003044617
11:58:09.800,-297.852941530668,-309.926661624575,41.9859813740018,-296.505556338623,-320.263065007158,51.2587334312687,-36.0704102623183,15.1289325424305,-128.510303959455
11:58:09.900,-297.779368091033,-309.795360780959,42.2215024112396,-296.489992328717,-320.240881725977,51.1962833761828,-36.0726696195415,15.1283839805981,-128.528267759966
11:58:10.000,-297.705036723454,-309.664125018487,42.463512268632,-296.473976441126,-320.218613971194,51.136721219777,-36.0760090535454,15.129758780941,-128.541460275447
